transaction_id,region_id
3000001,REGION_-1.0
3000002,REGION_299.0
3000003,REGION_-1.0
3000004,REGION_-1.0
3000005,REGION_181.0
3000006,REGION_123.0
3000007,REGION_502.0
3000008,REGION_-1.0
3000009,REGION_299.0
3000010,REGION_126.0
3000011,REGION_299.0
3000012,REGION_123.0
3000013,REGION_226.0
3000014,REGION_420.0
3000015,REGION_-1.0
3000016,REGION_-1.0
3000017,REGION_123.0
3000018,REGION_-1.0
3000019,REGION_204.0
3000020,REGION_-1.0
3000021,REGION_325.0
3000022,REGION_204.0
3000023,REGION_251.0
3000024,REGION_472.0
3000025,REGION_315.0
3000026,REGION_485.0
3000027,REGION_485.0
3000028,REGION_330.0
3000029,REGION_330.0
3000030,REGION_299.0
3000031,REGION_123.0
3000032,REGION_299.0
3000033,REGION_220.0
3000034,REGION_191.0
3000035,REGION_315.0
3000036,REGION_220.0
3000037,REGION_494.0
3000038,REGION_325.0
3000039,REGION_220.0
3000040,REGION_123.0
3000041,REGION_-1.0
3000042,REGION_220.0
3000043,REGION_325.0
3000044,REGION_-1.0
3000045,REGION_299.0
3000046,REGION_512.0
3000047,REGION_325.0
3000048,REGION_502.0
3000049,REGION_325.0
3000050,REGION_158.0
3000051,REGION_264.0
3000052,REGION_299.0
3000053,REGION_330.0
3000054,REGION_325.0
3000055,REGION_203.0
3000056,REGION_498.0
3000057,REGION_-1.0
3000058,REGION_433.0
3000059,REGION_420.0
3000060,REGION_110.0
3000061,REGION_-1.0
3000062,REGION_191.0
3000063,REGION_330.0
3000064,REGION_264.0
3000065,REGION_325.0
3000066,REGION_264.0
3000067,REGION_299.0
3000068,REGION_512.0
3000069,REGION_448.0
3000070,REGION_194.0
3000071,REGION_143.0
3000072,REGION_299.0
3000073,REGION_330.0
3000074,REGION_498.0
3000075,REGION_181.0
3000076,REGION_299.0
3000077,REGION_-1.0
3000078,REGION_-1.0
3000079,REGION_-1.0
3000080,REGION_299.0
3000081,REGION_123.0
3000082,REGION_126.0
3000083,REGION_315.0
3000084,REGION_-1.0
3000085,REGION_498.0
3000086,REGION_204.0
3000087,REGION_204.0
3000088,REGION_315.0
3000089,REGION_184.0
3000090,REGION_204.0
3000091,REGION_420.0
3000092,REGION_251.0
3000093,REGION_-1.0
3000094,REGION_512.0
3000095,REGION_-1.0
3000096,REGION_315.0
3000097,REGION_191.0
3000098,REGION_299.0
3000099,REGION_204.0
3000100,REGION_299.0
3000101,REGION_204.0
3000102,REGION_325.0
3000103,REGION_204.0
3000104,REGION_272.0
3000105,REGION_330.0
3000106,REGION_158.0
3000107,REGION_204.0
3000108,REGION_191.0
3000109,REGION_123.0
3000110,REGION_325.0
3000111,REGION_299.0
3000112,REGION_343.0
3000113,REGION_-1.0
3000114,REGION_-1.0
3000115,REGION_325.0
3000116,REGION_299.0
3000117,REGION_143.0
3000118,REGION_225.0
3000119,REGION_330.0
3000120,REGION_-1.0
3000121,REGION_444.0
3000122,REGION_472.0
3000123,REGION_-1.0
3000124,REGION_299.0
3000125,REGION_433.0
3000126,REGION_476.0
3000127,REGION_-1.0
3000128,REGION_184.0
3000129,REGION_299.0
3000130,REGION_204.0
3000131,REGION_327.0
3000132,REGION_299.0
3000133,REGION_325.0
3000134,REGION_441.0
3000135,REGION_299.0
3000136,REGION_204.0
3000137,REGION_428.0
3000138,REGION_-1.0
3000139,REGION_264.0
3000140,REGION_264.0
3000141,REGION_330.0
3000142,REGION_512.0
3000143,REGION_433.0
3000144,REGION_123.0
3000145,REGION_177.0
3000146,REGION_325.0
3000147,REGION_123.0
3000148,REGION_315.0
3000149,REGION_181.0
3000150,REGION_512.0
3000151,REGION_310.0
3000152,REGION_126.0
3000153,REGION_299.0
3000154,REGION_441.0
3000155,REGION_433.0
3000156,REGION_337.0
3000157,REGION_299.0
3000158,REGION_126.0
3000159,REGION_315.0
3000160,REGION_177.0
3000161,REGION_476.0
3000162,REGION_476.0
3000163,REGION_204.0
3000164,REGION_-1.0
3000165,REGION_299.0
3000166,REGION_299.0
3000167,REGION_177.0
3000168,REGION_220.0
3000169,REGION_387.0
3000170,REGION_184.0
3000171,REGION_225.0
3000172,REGION_-1.0
3000173,REGION_299.0
3000174,REGION_170.0
3000175,REGION_337.0
3000176,REGION_226.0
3000177,REGION_476.0
3000178,REGION_-1.0
3000179,REGION_512.0
3000180,REGION_264.0
3000181,REGION_436.0
3000182,REGION_315.0
3000183,REGION_220.0
3000184,REGION_-1.0
3000185,REGION_264.0
3000186,REGION_-1.0
3000187,REGION_181.0
3000188,REGION_191.0
3000189,REGION_177.0
3000190,REGION_-1.0
3000191,REGION_299.0
3000192,REGION_-1.0
3000193,REGION_264.0
3000194,REGION_441.0
3000195,REGION_-1.0
3000196,REGION_-1.0
3000197,REGION_-1.0
3000198,REGION_194.0
3000199,REGION_327.0
3000200,REGION_325.0
3000201,REGION_264.0
3000202,REGION_325.0
3000203,REGION_299.0
3000204,REGION_-1.0
3000205,REGION_204.0
3000206,REGION_204.0
3000207,REGION_325.0
3000208,REGION_384.0
3000209,REGION_299.0
3000210,REGION_325.0
3000211,REGION_299.0
3000212,REGION_327.0
3000213,REGION_384.0
3000214,REGION_123.0
3000215,REGION_315.0
3000216,REGION_420.0
3000217,REGION_-1.0
3000218,REGION_299.0
3000219,REGION_205.0
3000220,REGION_384.0
3000221,REGION_122.0
3000222,REGION_299.0
3000223,REGION_476.0
3000224,REGION_220.0
3000225,REGION_158.0
3000226,REGION_123.0
3000227,REGION_-1.0
3000228,REGION_184.0
3000229,REGION_299.0
3000230,REGION_315.0
3000231,REGION_299.0
3000232,REGION_-1.0
3000233,REGION_299.0
3000234,REGION_-1.0
3000235,REGION_472.0
3000236,REGION_204.0
3000237,REGION_-1.0
3000238,REGION_110.0
3000239,REGION_231.0
3000240,REGION_384.0
3000241,REGION_428.0
3000242,REGION_-1.0
3000243,REGION_123.0
3000244,REGION_299.0
3000245,REGION_472.0
3000246,REGION_325.0
3000247,REGION_-1.0
3000248,REGION_122.0
3000249,REGION_264.0
3000250,REGION_-1.0
3000251,REGION_251.0
3000252,REGION_436.0
3000253,REGION_472.0
3000254,REGION_476.0
3000255,REGION_194.0
3000256,REGION_225.0
3000257,REGION_205.0
3000258,REGION_299.0
3000259,REGION_225.0
3000260,REGION_325.0
3000261,REGION_204.0
3000262,REGION_204.0
3000263,REGION_205.0
3000264,REGION_315.0
3000265,REGION_123.0
3000266,REGION_204.0
3000267,REGION_444.0
3000268,REGION_337.0
3000269,REGION_325.0
3000270,REGION_315.0
3000271,REGION_123.0
3000272,REGION_177.0
3000273,REGION_204.0
3000274,REGION_-1.0
3000275,REGION_337.0
3000276,REGION_191.0
3000277,REGION_325.0
3000278,REGION_299.0
3000279,REGION_251.0
3000280,REGION_-1.0
3000281,REGION_485.0
3000282,REGION_123.0
3000283,REGION_315.0
3000284,REGION_123.0
3000285,REGION_476.0
3000286,REGION_299.0
3000287,REGION_181.0
3000288,REGION_299.0
3000289,REGION_225.0
3000290,REGION_191.0
3000291,REGION_-1.0
3000292,REGION_264.0
3000293,REGION_299.0
3000294,REGION_476.0
3000295,REGION_110.0
3000296,REGION_299.0
3000297,REGION_205.0
3000298,REGION_110.0
3000299,REGION_181.0
3000300,REGION_110.0
3000301,REGION_325.0
3000302,REGION_512.0
3000303,REGION_498.0
3000304,REGION_441.0
3000305,REGION_-1.0
3000306,REGION_310.0
3000307,REGION_220.0
3000308,REGION_269.0
3000309,REGION_204.0
3000310,REGION_310.0
3000311,REGION_220.0
3000312,REGION_-1.0
3000313,REGION_512.0
3000314,REGION_-1.0
3000315,REGION_299.0
3000316,REGION_122.0
3000317,REGION_-1.0
3000318,REGION_225.0
3000319,REGION_469.0
3000320,REGION_325.0
3000321,REGION_-1.0
3000322,REGION_-1.0
3000323,REGION_384.0
3000324,REGION_264.0
3000325,REGION_225.0
3000326,REGION_204.0
3000327,REGION_-1.0
3000328,REGION_310.0
3000329,REGION_330.0
3000330,REGION_204.0
3000331,REGION_310.0
3000332,REGION_476.0
3000333,REGION_-1.0
3000334,REGION_264.0
3000335,REGION_204.0
3000336,REGION_123.0
3000337,REGION_330.0
3000338,REGION_110.0
3000339,REGION_264.0
3000340,REGION_123.0
3000341,REGION_325.0
3000342,REGION_220.0
3000343,REGION_220.0
3000344,REGION_433.0
3000345,REGION_337.0
3000346,REGION_325.0
3000347,REGION_204.0
3000348,REGION_310.0
3000349,REGION_325.0
3000350,REGION_441.0
3000351,REGION_337.0
3000352,REGION_337.0
3000353,REGION_472.0
3000354,REGION_220.0
3000355,REGION_191.0
3000356,REGION_220.0
3000357,REGION_476.0
3000358,REGION_441.0
3000359,REGION_485.0
3000360,REGION_315.0
3000361,REGION_204.0
3000362,REGION_264.0
3000363,REGION_177.0
3000364,REGION_123.0
3000365,REGION_299.0
3000366,REGION_123.0
3000367,REGION_337.0
3000368,REGION_264.0
3000369,REGION_264.0
3000370,REGION_143.0
3000371,REGION_485.0
3000372,REGION_337.0
3000373,REGION_325.0
3000374,REGION_325.0
3000375,REGION_512.0
3000376,REGION_123.0
3000377,REGION_325.0
3000378,REGION_191.0
3000379,REGION_330.0
3000380,REGION_436.0
3000381,REGION_-1.0
3000382,REGION_325.0
3000383,REGION_325.0
3000384,REGION_324.0
3000385,REGION_231.0
3000386,REGION_205.0
3000387,REGION_191.0
3000388,REGION_325.0
3000389,REGION_231.0
3000390,REGION_205.0
3000391,REGION_310.0
3000392,REGION_177.0
3000393,REGION_220.0
3000394,REGION_205.0
3000395,REGION_325.0
3000396,REGION_123.0
3000397,REGION_123.0
3000398,REGION_204.0
3000399,REGION_299.0
3000400,REGION_485.0
3000401,REGION_337.0
3000402,REGION_337.0
3000403,REGION_-1.0
3000404,REGION_315.0
3000405,REGION_330.0
3000406,REGION_191.0
3000407,REGION_337.0
3000408,REGION_226.0
3000409,REGION_251.0
3000410,REGION_204.0
3000411,REGION_433.0
3000412,REGION_299.0
3000413,REGION_203.0
3000414,REGION_272.0
3000415,REGION_203.0
3000416,REGION_433.0
3000417,REGION_337.0
3000418,REGION_264.0
3000419,REGION_324.0
3000420,REGION_191.0
3000421,REGION_220.0
3000422,REGION_325.0
3000423,REGION_231.0
3000424,REGION_387.0
3000425,REGION_384.0
3000426,REGION_330.0
3000427,REGION_264.0
3000428,REGION_295.0
3000429,REGION_325.0
3000430,REGION_191.0
3000431,REGION_337.0
3000432,REGION_330.0
3000433,REGION_325.0
3000434,REGION_325.0
3000435,REGION_264.0
3000436,REGION_264.0
3000437,REGION_384.0
3000438,REGION_272.0
3000439,REGION_181.0
3000440,REGION_204.0
3000441,REGION_272.0
3000442,REGION_143.0
3000443,REGION_-1.0
3000444,REGION_204.0
3000445,REGION_299.0
3000446,REGION_191.0
3000447,REGION_-1.0
3000448,REGION_337.0
3000449,REGION_191.0
3000450,REGION_337.0
3000451,REGION_315.0
3000452,REGION_205.0
3000453,REGION_325.0
3000454,REGION_315.0
3000455,REGION_123.0
3000456,REGION_299.0
3000457,REGION_325.0
3000458,REGION_420.0
3000459,REGION_269.0
3000460,REGION_123.0
3000461,REGION_325.0
3000462,REGION_433.0
3000463,REGION_448.0
3000464,REGION_225.0
3000465,REGION_494.0
3000466,REGION_325.0
3000467,REGION_191.0
3000468,REGION_325.0
3000469,REGION_220.0
3000470,REGION_272.0
3000471,REGION_220.0
3000472,REGION_325.0
3000473,REGION_299.0
3000474,REGION_204.0
3000475,REGION_494.0
3000476,REGION_272.0
3000477,REGION_315.0
3000478,REGION_325.0
3000479,REGION_231.0
3000480,REGION_330.0
3000481,REGION_308.0
3000482,REGION_272.0
3000483,REGION_494.0
3000484,REGION_325.0
3000485,REGION_181.0
3000486,REGION_269.0
3000487,REGION_325.0
3000488,REGION_204.0
3000489,REGION_441.0
3000490,REGION_494.0
3000491,REGION_123.0
3000492,REGION_123.0
3000493,REGION_498.0
3000494,REGION_325.0
3000495,REGION_126.0
3000496,REGION_126.0
3000497,REGION_498.0
3000498,REGION_485.0
3000499,REGION_264.0
3000500,REGION_337.0
3000501,REGION_123.0
3000502,REGION_264.0
3000503,REGION_325.0
3000504,REGION_330.0
3000505,REGION_126.0
3000506,REGION_441.0
3000507,REGION_231.0
3000508,REGION_204.0
3000509,REGION_325.0
3000510,REGION_325.0
3000511,REGION_476.0
3000512,REGION_337.0
3000513,REGION_325.0
3000514,REGION_204.0
3000515,REGION_315.0
3000516,REGION_310.0
3000517,REGION_327.0
3000518,REGION_123.0
3000519,REGION_-1.0
3000520,REGION_231.0
3000521,REGION_204.0
3000522,REGION_272.0
3000523,REGION_325.0
3000524,REGION_204.0
3000525,REGION_299.0
3000526,REGION_441.0
3000527,REGION_330.0
3000528,REGION_387.0
3000529,REGION_325.0
3000530,REGION_204.0
3000531,REGION_325.0
3000532,REGION_476.0
3000533,REGION_387.0
3000534,REGION_204.0
3000535,REGION_441.0
3000536,REGION_315.0
3000537,REGION_181.0
3000538,REGION_204.0
3000539,REGION_220.0
3000540,REGION_299.0
3000541,REGION_264.0
3000542,REGION_191.0
3000543,REGION_512.0
3000544,REGION_433.0
3000545,REGION_191.0
3000546,REGION_441.0
3000547,REGION_205.0
3000548,REGION_269.0
3000549,REGION_264.0
3000550,REGION_264.0
3000551,REGION_269.0
3000552,REGION_205.0
3000553,REGION_181.0
3000554,REGION_387.0
3000555,REGION_264.0
3000556,REGION_191.0
3000557,REGION_181.0
3000558,REGION_143.0
3000559,REGION_204.0
3000560,REGION_143.0
3000561,REGION_181.0
3000562,REGION_337.0
3000563,REGION_264.0
3000564,REGION_315.0
3000565,REGION_123.0
3000566,REGION_441.0
3000567,REGION_485.0
3000568,REGION_184.0
3000569,REGION_272.0
3000570,REGION_204.0
3000571,REGION_126.0
3000572,REGION_441.0
3000573,REGION_472.0
3000574,REGION_387.0
3000575,REGION_420.0
3000576,REGION_191.0
3000577,REGION_204.0
3000578,REGION_325.0
3000579,REGION_123.0
3000580,REGION_177.0
3000581,REGION_472.0
3000582,REGION_436.0
3000583,REGION_387.0
3000584,REGION_330.0
3000585,REGION_325.0
3000586,REGION_126.0
3000587,REGION_225.0
3000588,REGION_177.0
3000589,REGION_327.0
3000590,REGION_387.0
3000591,REGION_325.0
3000592,REGION_123.0
3000593,REGION_264.0
3000594,REGION_126.0
3000595,REGION_143.0
3000596,REGION_143.0
3000597,REGION_441.0
3000598,REGION_191.0
3000599,REGION_299.0
3000600,REGION_181.0
3000601,REGION_325.0
3000602,REGION_126.0
3000603,REGION_441.0
3000604,REGION_387.0
3000605,REGION_191.0
3000606,REGION_325.0
3000607,REGION_204.0
3000608,REGION_325.0
3000609,REGION_191.0
3000610,REGION_204.0
3000611,REGION_191.0
3000612,REGION_191.0
3000613,REGION_325.0
3000614,REGION_181.0
3000615,REGION_325.0
3000616,REGION_191.0
3000617,REGION_337.0
3000618,REGION_191.0
3000619,REGION_494.0
3000620,REGION_126.0
3000621,REGION_191.0
3000622,REGION_325.0
3000623,REGION_325.0
3000624,REGION_184.0
3000625,REGION_433.0
3000626,REGION_126.0
3000627,REGION_327.0
3000628,REGION_325.0
3000629,REGION_325.0
3000630,REGION_337.0
3000631,REGION_325.0
3000632,REGION_441.0
3000633,REGION_494.0
3000634,REGION_485.0
3000635,REGION_181.0
3000636,REGION_436.0
3000637,REGION_181.0
3000638,REGION_191.0
3000639,REGION_272.0
3000640,REGION_205.0
3000641,REGION_325.0
3000642,REGION_204.0
3000643,REGION_330.0
3000644,REGION_204.0
3000645,REGION_325.0
3000646,REGION_441.0
3000647,REGION_264.0
3000648,REGION_476.0
3000649,REGION_476.0
3000650,REGION_272.0
3000651,REGION_330.0
3000652,REGION_310.0
3000653,REGION_143.0
3000654,REGION_315.0
3000655,REGION_184.0
3000656,REGION_325.0
3000657,REGION_337.0
3000658,REGION_315.0
3000659,REGION_325.0
3000660,REGION_315.0
3000661,REGION_436.0
3000662,REGION_181.0
3000663,REGION_272.0
3000664,REGION_204.0
3000665,REGION_204.0
3000666,REGION_485.0
3000667,REGION_126.0
3000668,REGION_315.0
3000669,REGION_327.0
3000670,REGION_325.0
3000671,REGION_264.0
3000672,REGION_315.0
3000673,REGION_476.0
3000674,REGION_441.0
3000675,REGION_191.0
3000676,REGION_272.0
3000677,REGION_205.0
3000678,REGION_143.0
3000679,REGION_472.0
3000680,REGION_204.0
3000681,REGION_325.0
3000682,REGION_325.0
3000683,REGION_472.0
3000684,REGION_325.0
3000685,REGION_269.0
3000686,REGION_177.0
3000687,REGION_203.0
