region_id,region_code
REGION_-1.0,-1.0
REGION_299.0,299.0
REGION_181.0,181.0
REGION_123.0,123.0
REGION_502.0,502.0
REGION_126.0,126.0
REGION_226.0,226.0
REGION_420.0,420.0
REGION_204.0,204.0
REGION_325.0,325.0
REGION_251.0,251.0
REGION_472.0,472.0
REGION_315.0,315.0
REGION_485.0,485.0
REGION_330.0,330.0
REGION_220.0,220.0
REGION_191.0,191.0
REGION_494.0,494.0
REGION_512.0,512.0
REGION_158.0,158.0
REGION_264.0,264.0
REGION_203.0,203.0
REGION_498.0,498.0
REGION_433.0,433.0
REGION_110.0,110.0
REGION_448.0,448.0
REGION_194.0,194.0
REGION_143.0,143.0
REGION_184.0,184.0
REGION_272.0,272.0
REGION_343.0,343.0
REGION_225.0,225.0
REGION_444.0,444.0
REGION_476.0,476.0
REGION_327.0,327.0
REGION_441.0,441.0
REGION_428.0,428.0
REGION_177.0,177.0
REGION_310.0,310.0
REGION_337.0,337.0
REGION_387.0,387.0
REGION_170.0,170.0
REGION_436.0,436.0
REGION_384.0,384.0
REGION_205.0,205.0
REGION_122.0,122.0
REGION_231.0,231.0
REGION_269.0,269.0
REGION_469.0,469.0
REGION_324.0,324.0
REGION_295.0,295.0
REGION_308.0,308.0
REGION_253.0,253.0
REGION_492.0,492.0
REGION_224.0,224.0
REGION_418.0,418.0
REGION_157.0,157.0
REGION_536.0,536.0
REGION_296.0,296.0
REGION_491.0,491.0
REGION_161.0,161.0
REGION_347.0,347.0
REGION_154.0,154.0
REGION_511.0,511.0
REGION_508.0,508.0
REGION_496.0,496.0
REGION_142.0,142.0
REGION_465.0,465.0
REGION_106.0,106.0
REGION_152.0,152.0
REGION_500.0,500.0
REGION_274.0,274.0
REGION_130.0,130.0
REGION_331.0,331.0
REGION_486.0,486.0
REGION_242.0,242.0
REGION_221.0,221.0
REGION_216.0,216.0
REGION_431.0,431.0
REGION_531.0,531.0
REGION_304.0,304.0
REGION_399.0,399.0
REGION_164.0,164.0
REGION_375.0,375.0
REGION_483.0,483.0
REGION_456.0,456.0
REGION_218.0,218.0
REGION_403.0,403.0
REGION_409.0,409.0
REGION_477.0,477.0
REGION_499.0,499.0
REGION_100.0,100.0
REGION_258.0,258.0
REGION_148.0,148.0
REGION_371.0,371.0
REGION_332.0,332.0
REGION_520.0,520.0
REGION_167.0,167.0
REGION_261.0,261.0
REGION_404.0,404.0
REGION_391.0,391.0
REGION_505.0,505.0
REGION_432.0,432.0
REGION_504.0,504.0
REGION_346.0,346.0
REGION_359.0,359.0
REGION_171.0,171.0
REGION_425.0,425.0
REGION_374.0,374.0
REGION_365.0,365.0
REGION_141.0,141.0
REGION_132.0,132.0
REGION_352.0,352.0
REGION_183.0,183.0
REGION_128.0,128.0
REGION_523.0,523.0
REGION_411.0,411.0
REGION_454.0,454.0
REGION_129.0,129.0
REGION_521.0,521.0
