case_id,opened_at,closed_at,outcome,pattern,n_txns,exposure_usd,report_filed
CC-0001,2016-07-02 07:17:26,2016-07-06 01:17:26,confirmed_fraud,card_not_present_fraud,1,155.43,No
CC-0002,2016-07-02 08:51:57,2016-07-04 05:51:57,confirmed_fraud,out_of_region_use,1,117.05,No
CC-0003,2016-07-02 16:34:01,2016-07-05 13:34:01,cleared,none,1,0.0,No
CC-0004,2016-07-02 20:05:35,2016-07-05 17:05:35,confirmed_fraud,out_of_region_use,2,857.92,No
CC-0005,2016-07-02 21:10:20,2016-07-04 02:10:20,confirmed_fraud,out_of_region_use,1,39.92,No
CC-0006,2016-07-02 21:21:35,2016-07-08 18:21:35,confirmed_fraud,out_of_region_use,1,265.07,No
CC-0007,2016-07-03 00:45:04,2016-07-07 03:45:04,confirmed_fraud,card_not_present_fraud,1,99.91,No
CC-0008,2016-07-03 00:56:48,2016-07-04 16:56:48,confirmed_fraud,account_takeover,1,49.04,No
CC-0009,2016-07-03 05:55:45,2016-07-06 01:55:45,cleared,none,1,0.0,No
CC-0010,2016-07-03 07:04:50,2016-07-04 04:04:50,cleared,none,1,0.0,No
CC-0011,2016-07-03 07:46:35,2016-07-06 16:46:35,confirmed_fraud,card_not_present_new_device,1,149.95,No
CC-0012,2016-07-03 08:40:41,2016-07-07 23:40:41,confirmed_fraud,card_not_present_fraud,1,123.52,No
CC-0013,2016-07-03 09:17:43,2016-07-06 06:17:43,confirmed_fraud,account_takeover,1,261.95,No
CC-0014,2016-07-03 09:35:08,2016-07-08 23:35:08,confirmed_fraud,card_not_present_fraud,1,75.15,No
CC-0015,2016-07-03 11:43:21,2016-07-05 03:43:21,cleared,none,1,0.0,No
CC-0016,2016-07-03 18:31:19,2016-07-04 22:31:19,confirmed_fraud,out_of_region_use,1,68.46,No
CC-0017,2016-07-03 18:52:00,2016-07-04 12:52:00,cleared,none,1,0.0,No
CC-0018,2016-07-03 19:37:07,2016-07-04 20:37:07,confirmed_fraud,card_not_present_new_device,1,150.07,No
CC-0019,2016-07-03 21:52:10,2016-07-05 01:52:10,confirmed_fraud,card_not_present_new_device,1,225.09,No
CC-0020,2016-07-03 21:54:56,2016-07-09 16:54:56,confirmed_fraud,account_takeover,4,433.91,No
CC-0021,2016-07-03 22:08:36,2016-07-05 16:08:36,cleared,none,1,0.0,No
CC-0022,2016-07-03 22:54:31,2016-07-04 20:54:31,confirmed_fraud,card_not_present_fraud,1,100.04,No
CC-0023,2016-07-03 23:05:27,2016-07-05 18:05:27,cleared,none,1,0.0,No
CC-0024,2016-07-03 23:13:51,2016-07-08 15:13:51,confirmed_fraud,account_takeover,2,1894.06,Yes
CC-0025,2016-07-03 23:24:56,2016-07-05 15:24:56,confirmed_fraud,account_takeover,1,100.0,No
CC-0026,2016-07-03 23:36:27,2016-07-05 18:36:27,cleared,none,1,0.0,No
CC-0027,2016-07-04 00:21:14,2016-07-05 16:21:14,confirmed_fraud,account_takeover,1,59.06,No
CC-0028,2016-07-04 00:40:19,2016-07-07 15:40:19,confirmed_fraud,card_not_present_fraud,1,250.04,No
CC-0029,2016-07-04 00:43:03,2016-07-06 00:43:03,confirmed_fraud,card_not_present_new_device,3,600.08,No
CC-0030,2016-07-04 00:57:01,2016-07-07 16:57:01,confirmed_fraud,out_of_region_use,1,59.01,No
CC-0031,2016-07-04 01:23:36,2016-07-07 22:23:36,confirmed_fraud,card_not_present_new_device,1,20.36,No
CC-0032,2016-07-04 02:02:25,2016-07-05 22:02:25,cleared,none,1,0.0,No
CC-0033,2016-07-04 02:32:22,2016-07-08 23:32:22,confirmed_fraud,account_takeover,3,374.83,No
CC-0034,2016-07-04 02:48:44,2016-07-05 00:48:44,cleared,none,1,0.0,No
CC-0035,2016-07-04 03:40:55,2016-07-08 20:40:55,confirmed_fraud,card_not_present_fraud,1,150.05,No
CC-0036,2016-07-04 04:15:53,2016-07-06 14:15:53,confirmed_fraud,account_takeover,1,137.01,No
CC-0037,2016-07-04 04:29:21,2016-07-07 03:29:21,cleared,none,1,0.0,No
CC-0038,2016-07-04 05:10:48,2016-07-07 02:10:48,cleared,none,1,0.0,No
CC-0039,2016-07-04 05:52:18,2016-07-08 19:52:18,confirmed_fraud,account_takeover,1,170.93,No
CC-0040,2016-07-04 06:10:07,2016-07-05 03:10:07,cleared,none,1,0.0,No
CC-0041,2016-07-04 06:39:11,2016-07-07 16:39:11,confirmed_fraud,out_of_region_use,1,75.03,No
CC-0042,2016-07-04 07:37:59,2016-07-05 02:37:59,cleared,none,1,0.0,No
CC-0043,2016-07-04 08:03:02,2016-07-09 07:03:02,confirmed_fraud,out_of_region_use,1,87.01,No
CC-0044,2016-07-04 09:49:26,2016-07-05 22:49:26,confirmed_fraud,out_of_region_use,1,13.33,No
CC-0045,2016-07-04 10:11:50,2016-07-05 22:11:50,confirmed_fraud,out_of_region_use,4,1282.82,Yes
CC-0046,2016-07-04 10:37:34,2016-07-08 04:37:34,confirmed_fraud,card_not_present_new_device,1,10.04,No
CC-0047,2016-07-04 11:05:08,2016-07-08 20:05:08,confirmed_fraud,card_not_present_fraud,5,50.05,No
CC-0048,2016-07-04 11:15:59,2016-07-06 03:15:59,confirmed_fraud,card_not_present_fraud,1,149.96,No
CC-0049,2016-07-04 11:25:48,2016-07-07 20:25:48,confirmed_fraud,card_not_present_fraud,2,399.95,No
CC-0050,2016-07-04 13:08:31,2016-07-06 01:08:31,confirmed_fraud,out_of_region_use,1,48.01,No
CC-0051,2016-07-04 14:46:15,2016-07-07 10:46:15,confirmed_fraud,account_takeover,2,177.02,No
CC-0052,2016-07-04 15:45:08,2016-07-05 20:45:08,confirmed_fraud,card_not_present_fraud,1,52.36,No
CC-0053,2016-07-04 17:06:12,2016-07-06 06:06:12,confirmed_fraud,out_of_region_use,1,774.08,No
CC-0054,2016-07-04 17:29:18,2016-07-07 20:29:18,confirmed_fraud,card_not_present_fraud,1,60.71,No
CC-0055,2016-07-04 18:17:23,2016-07-06 00:17:23,confirmed_fraud,card_not_present_fraud,1,83.69,No
CC-0056,2016-07-04 18:17:38,2016-07-06 15:17:38,confirmed_fraud,card_not_present_new_device,1,40.21,No
CC-0057,2016-07-04 18:42:19,2016-07-06 02:42:19,confirmed_fraud,account_takeover,1,108.42,No
CC-0058,2016-07-04 18:53:38,2016-07-05 15:53:38,cleared,none,1,0.0,No
CC-0059,2016-07-04 19:05:35,2016-07-06 23:05:35,confirmed_fraud,card_not_present_new_device,4,185.01,No
CC-0060,2016-07-04 19:18:54,2016-07-06 14:18:54,confirmed_fraud,card_not_present_fraud,2,899.98,No
CC-0061,2016-07-04 19:51:11,2016-07-06 13:51:11,cleared,none,1,0.0,No
CC-0062,2016-07-04 20:30:28,2016-07-06 08:30:28,confirmed_fraud,out_of_region_use,4,526.98,No
CC-0063,2016-07-04 20:35:01,2016-07-06 17:35:01,confirmed_fraud,account_takeover,12,2659.62,Yes
CC-0064,2016-07-04 20:35:05,2016-07-08 18:35:05,confirmed_fraud,card_not_present_fraud,2,450.1,No
CC-0065,2016-07-04 20:48:28,2016-07-05 15:48:28,cleared,none,1,0.0,No
CC-0066,2016-07-04 20:52:22,2016-07-05 19:52:22,cleared,none,1,0.0,No
CC-0067,2016-07-04 21:00:55,2016-07-09 01:00:55,confirmed_fraud,card_not_present_fraud,3,111.36,No
CC-0068,2016-07-04 22:05:14,2016-07-05 21:05:14,cleared,none,1,0.0,No
CC-0069,2016-07-04 22:45:26,2016-07-06 14:45:26,cleared,none,1,0.0,No
CC-0070,2016-07-04 22:47:14,2016-07-07 17:47:14,confirmed_fraud,account_takeover,1,334.94,No
CC-0071,2016-07-04 23:04:32,2016-07-09 23:04:32,confirmed_fraud,card_not_present_new_device,1,47.19,No
CC-0072,2016-07-04 23:29:45,2016-07-07 21:29:45,confirmed_fraud,out_of_region_use,1,150.0,No
CC-0073,2016-07-04 23:30:43,2016-07-08 20:30:43,confirmed_fraud,card_not_present_new_device,1,60.78,No
CC-0074,2016-07-04 23:46:07,2016-07-08 21:46:07,confirmed_fraud,account_takeover,1,31.92,No
CC-0075,2016-07-05 00:20:08,2016-07-07 04:20:08,confirmed_fraud,card_not_present_fraud,1,100.07,No
CC-0076,2016-07-05 00:44:38,2016-07-07 20:44:38,confirmed_fraud,card_not_present_new_device,2,299.85,No
CC-0077,2016-07-05 00:50:31,2016-07-05 22:50:31,cleared,none,1,0.0,No
CC-0078,2016-07-05 01:42:34,2016-07-06 05:42:34,confirmed_fraud,card_not_present_new_device,2,131.31,No
CC-0079,2016-07-05 02:47:36,2016-07-06 22:47:36,confirmed_fraud,account_takeover,2,188.62,No
CC-0080,2016-07-05 03:00:33,2016-07-05 21:00:33,confirmed_fraud,card_not_present_fraud,1,29.92,No
CC-0081,2016-07-05 03:05:27,2016-07-08 21:05:27,confirmed_fraud,card_not_present_fraud,1,78.86,No
CC-0082,2016-07-05 03:09:46,2016-07-06 19:09:46,cleared,none,1,0.0,No
CC-0083,2016-07-05 03:28:05,2016-07-06 00:28:05,cleared,none,1,0.0,No
CC-0084,2016-07-05 03:42:51,2016-07-10 18:42:51,confirmed_fraud,account_takeover,2,497.99,No
CC-0085,2016-07-05 04:12:28,2016-07-07 22:12:28,confirmed_fraud,account_takeover,7,298.03,No
CC-0086,2016-07-05 04:16:32,2016-07-10 00:16:32,confirmed_fraud,card_not_present_fraud,1,83.81,No
CC-0087,2016-07-05 04:17:51,2016-07-08 22:17:51,confirmed_fraud,out_of_region_use,1,399.92,No
CC-0088,2016-07-05 04:58:21,2016-07-07 22:58:21,cleared,none,1,0.0,No
CC-0089,2016-07-05 05:21:29,2016-07-06 17:21:29,confirmed_fraud,card_not_present_fraud,3,251.25,No
CC-0090,2016-07-05 07:42:35,2016-07-06 21:42:35,confirmed_fraud,out_of_region_use,4,770.29,No
CC-0091,2016-07-05 08:37:44,2016-07-08 02:37:44,cleared,none,1,0.0,No
CC-0092,2016-07-05 08:46:40,2016-07-10 21:46:40,confirmed_fraud,account_takeover,1,53.93,No
CC-0093,2016-07-05 09:11:36,2016-07-07 14:11:36,confirmed_fraud,account_takeover,2,94.98,No
CC-0094,2016-07-05 09:16:28,2016-07-09 02:16:28,confirmed_fraud,card_not_present_fraud,1,37.22,No
CC-0095,2016-07-05 09:22:19,2016-07-07 21:22:19,confirmed_fraud,out_of_region_use,5,447.09,No
CC-0096,2016-07-05 09:30:38,2016-07-07 07:30:38,cleared,none,1,0.0,No
CC-0097,2016-07-05 11:06:37,2016-07-08 18:06:37,confirmed_fraud,card_not_present_fraud,1,51.29,No
CC-0098,2016-07-05 11:17:13,2016-07-07 03:17:13,cleared,none,1,0.0,No
CC-0099,2016-07-05 11:24:16,2016-07-07 04:24:16,cleared,none,1,0.0,No
CC-0100,2016-07-05 11:39:32,2016-07-07 01:39:32,confirmed_fraud,out_of_region_use,1,195.92,No
CC-0101,2016-07-05 14:24:05,2016-07-07 20:24:05,confirmed_fraud,card_not_present_fraud,1,150.06,No
CC-0102,2016-07-05 14:34:19,2016-07-07 04:34:19,confirmed_fraud,account_takeover,2,63.95,No
CC-0103,2016-07-05 14:48:22,2016-07-08 03:48:22,confirmed_fraud,account_takeover,1,49.97,No
CC-0104,2016-07-05 15:32:11,2016-07-08 15:32:11,confirmed_fraud,out_of_region_use,1,92.02,No
CC-0105,2016-07-05 16:16:17,2016-07-06 10:16:17,confirmed_fraud,card_not_present_fraud,1,199.95,No
CC-0106,2016-07-05 16:28:54,2016-07-06 14:28:54,confirmed_fraud,out_of_region_use,1,240.05,No
CC-0107,2016-07-05 17:14:17,2016-07-07 21:14:17,confirmed_fraud,out_of_region_use,2,49.88,No
CC-0108,2016-07-05 17:30:48,2016-07-09 22:30:48,confirmed_fraud,out_of_region_use,3,116.92,No
CC-0109,2016-07-05 18:39:06,2016-07-10 22:39:06,confirmed_fraud,account_takeover,4,300.11,No
CC-0110,2016-07-05 20:28:05,2016-07-08 17:28:05,confirmed_fraud,card_not_present_new_device,1,83.79,No
CC-0111,2016-07-05 20:38:42,2016-07-07 17:38:42,cleared,none,1,0.0,No
CC-0112,2016-07-05 21:30:29,2016-07-07 23:30:29,confirmed_fraud,out_of_region_use,1,102.08,No
CC-0113,2016-07-05 21:57:41,2016-07-07 05:57:41,confirmed_fraud,account_takeover,3,812.89,No
CC-0114,2016-07-05 22:30:53,2016-07-10 22:30:53,confirmed_fraud,account_takeover,3,270.86,No
CC-0115,2016-07-05 23:16:30,2016-07-10 14:16:30,confirmed_fraud,out_of_region_use,1,110.0,No
CC-0116,2016-07-05 23:31:51,2016-07-07 20:31:51,cleared,none,1,0.0,No
CC-0117,2016-07-05 23:46:52,2016-07-11 03:46:52,confirmed_fraud,card_not_present_new_device,1,100.06,No
CC-0118,2016-07-06 00:16:46,2016-07-09 15:16:46,confirmed_fraud,account_takeover,10,3205.87,Yes
CC-0119,2016-07-06 01:04:46,2016-07-10 21:04:46,confirmed_fraud,card_not_present_fraud,1,100.06,No
CC-0120,2016-07-06 01:23:58,2016-07-08 21:23:58,cleared,none,1,0.0,No
CC-0121,2016-07-06 01:30:14,2016-07-10 19:30:14,confirmed_fraud,account_takeover,11,1551.06,Yes
CC-0122,2016-07-06 01:51:37,2016-07-07 14:51:37,confirmed_fraud,card_not_present_new_device,26,1656.0,Yes
CC-0123,2016-07-06 02:12:28,2016-07-07 15:12:28,confirmed_fraud,card_not_present_new_device,1,200.02,No
CC-0124,2016-07-06 02:13:16,2016-07-09 16:13:16,confirmed_fraud,out_of_region_use,5,1256.51,Yes
CC-0125,2016-07-06 02:41:10,2016-07-08 01:41:10,cleared,none,1,0.0,No
CC-0126,2016-07-06 02:45:33,2016-07-11 22:45:33,confirmed_fraud,account_takeover,2,54.1,No
CC-0127,2016-07-06 02:48:03,2016-07-09 22:48:03,confirmed_fraud,card_not_present_fraud,2,500.07,No
CC-0128,2016-07-06 03:38:06,2016-07-09 15:38:06,confirmed_fraud,account_takeover,5,924.78,No
CC-0129,2016-07-06 03:46:37,2016-07-11 21:46:37,confirmed_fraud,out_of_region_use,1,58.91,No
CC-0130,2016-07-06 05:16:50,2016-07-08 02:16:50,cleared,none,1,0.0,No
CC-0131,2016-07-06 06:05:07,2016-07-09 22:05:07,confirmed_fraud,account_takeover,2,87.02,No
CC-0132,2016-07-06 06:32:16,2016-07-08 09:32:16,confirmed_fraud,out_of_region_use,2,171.93,No
CC-0133,2016-07-06 06:32:16,2016-07-07 20:32:16,confirmed_fraud,account_takeover,3,557.41,No
CC-0134,2016-07-06 06:37:01,2016-07-09 16:37:01,confirmed_fraud,account_takeover,1,107.98,No
CC-0135,2016-07-06 08:05:17,2016-07-07 23:05:17,confirmed_fraud,card_not_present_new_device,8,428.65,No
CC-0136,2016-07-06 08:34:09,2016-07-10 16:34:09,confirmed_fraud,account_takeover,4,345.86,No
CC-0137,2016-07-06 09:33:41,2016-07-11 03:33:41,confirmed_fraud,card_testing,5,402.43,No
CC-0138,2016-07-06 10:17:19,2016-07-08 04:17:19,cleared,none,1,0.0,No
CC-0139,2016-07-06 11:04:56,2016-07-08 20:04:56,confirmed_fraud,card_not_present_fraud,1,199.93,No
CC-0140,2016-07-06 12:01:57,2016-07-07 23:01:57,confirmed_fraud,out_of_region_use,1,29.05,No
CC-0141,2016-07-06 13:33:56,2016-07-09 06:33:56,confirmed_fraud,out_of_region_use,4,1725.82,Yes
CC-0142,2016-07-06 13:44:30,2016-07-08 03:44:30,confirmed_fraud,card_not_present_fraud,1,134.93,No
CC-0143,2016-07-06 14:04:24,2016-07-10 09:04:24,confirmed_fraud,out_of_region_use,1,158.98,No
CC-0144,2016-07-06 15:34:50,2016-07-09 08:34:50,confirmed_fraud,out_of_region_use,1,311.98,No
CC-0145,2016-07-06 16:36:10,2016-07-10 00:36:10,confirmed_fraud,account_takeover,5,853.12,No
CC-0146,2016-07-06 17:07:48,2016-07-08 14:07:48,confirmed_fraud,card_not_present_fraud,1,299.93,No
CC-0147,2016-07-06 17:16:56,2016-07-10 17:16:56,confirmed_fraud,account_takeover,4,497.15,No
CC-0148,2016-07-06 17:51:07,2016-07-10 17:51:07,confirmed_fraud,account_takeover,1,335.02,No
