customer_id,customer_name
C06075,C06075
C07096,C07096
C11919,C11919
C07867,C07867
C06743,C06743
C10193,C10193
C11923,C11923
C08925,C08925
C09301,C09301
C03218,C03218
C08945,C08945
C06598,C06598
C08662,C08662
C11709,C11709
C07648,C07648
C03575,C03575
C03847,C03847
C10234,C10234
C09711,C09711
C09339,C09339
C03622,C03622
C05704,C05704
C09947,C09947
C05283,C05283
C12942,C12942
C01109,C01109
C09363,C09363
C01525,C01525
C01909,C01909
C10906,C10906
C12593,C12593
C12961,C12961
C03363,C03363
C02354,C02354
C10745,C10745
C04108,C04108
C07870,C07870
C10333,C10333
C13171,C13171
C02231,C02231
C05362,C05362
C04960,C04960
C11000,C11000
C10679,C10679
C01953,C01953
C09221,C09221
C12758,C12758
C08924,C08924
C11625,C11625
C04105,C04105
C00750,C00750
C09486,C09486
C04597,C04597
C12517,C12517
C05854,C05854
C03230,C03230
C12136,C12136
C06872,C06872
C06248,C06248
C12094,C12094
C05312,C05312
C08742,C08742
C09276,C09276
C12234,C12234
C08842,C08842
C07505,C07505
C13001,C13001
C08037,C08037
C09936,C09936
C00259,C00259
C12863,C12863
C08841,C08841
C02515,C02515
C08605,C08605
C09998,C09998
C05560,C05560
C01828,C01828
C09872,C09872
C09253,C09253
C08391,C08391
C01048,C01048
C03047,C03047
C00272,C00272
C06791,C06791
C10656,C10656
C09405,C09405
C05622,C05622
C03277,C03277
C11464,C11464
C07212,C07212
C02250,C02250
C05689,C05689
C01154,C01154
C02331,C02331
C10755,C10755
C05078,C05078
C11227,C11227
C02342,C02342
C12907,C12907
C05996,C05996
C08027,C08027
C06055,C06055
C12682,C12682
C10270,C10270
C12598,C12598
C12982,C12982
C06147,C06147
C13440,C13440
C03351,C03351
C12722,C12722
C04361,C04361
C00614,C00614
C10867,C10867
C10852,C10852
C06885,C06885
C06811,C06811
C09671,C09671
C07033,C07033
C03771,C03771
C09165,C09165
C12084,C12084
C03851,C03851
C01333,C01333
C01521,C01521
C09750,C09750
C00844,C00844
C07220,C07220
C01563,C01563
C01954,C01954
C13449,C13449
C10955,C10955
C10516,C10516
C04582,C04582
C02134,C02134
C00331,C00331
C02608,C02608
C06403,C06403
C05196,C05196
C00969,C00969
C00732,C00732
C00094,C00094
C02902,C02902
C03412,C03412
C10239,C10239
C07058,C07058
C11883,C11883
C03474,C03474
C03649,C03649
C05958,C05958
C07803,C07803
C12124,C12124
C07523,C07523
C09184,C09184
C05128,C05128
C04034,C04034
C03556,C03556
C08120,C08120
C05961,C05961
C05098,C05098
C10778,C10778
C05276,C05276
C11309,C11309
C05277,C05277
C10397,C10397
C04313,C04313
C11873,C11873
C10553,C10553
C05010,C05010
C11929,C11929
C08749,C08749
C06678,C06678
C13372,C13372
C09827,C09827
C05258,C05258
C01959,C01959
C03883,C03883
C07227,C07227
C03858,C03858
C07504,C07504
C04707,C04707
C11917,C11917
C11468,C11468
C07936,C07936
C00773,C00773
C01347,C01347
C11294,C11294
C10911,C10911
C02575,C02575
C11743,C11743
C09286,C09286
C12426,C12426
C04893,C04893
C12311,C12311
C07858,C07858
C04543,C04543
C12417,C12417
C00129,C00129
C01254,C01254
C08072,C08072
C04383,C04383
C04798,C04798
C09666,C09666
C04696,C04696
C08824,C08824
C09876,C09876
C05876,C05876
C07871,C07871
C12894,C12894
C04026,C04026
C01974,C01974
C04693,C04693
C10364,C10364
C09981,C09981
C08181,C08181
C12833,C12833
C05782,C05782
C10661,C10661
C07456,C07456
C08913,C08913
C09159,C09159
C12572,C12572
C11522,C11522
C11061,C11061
C03171,C03171
C10800,C10800
C10687,C10687
C02817,C02817
C03714,C03714
C07671,C07671
C08614,C08614
C12489,C12489
C11381,C11381
C01308,C01308
C00823,C00823
C00424,C00424
C09342,C09342
C13033,C13033
C12738,C12738
C02480,C02480
C03415,C03415
C08269,C08269
C12030,C12030
C12345,C12345
C11082,C11082
C04865,C04865
C03320,C03320
C08899,C08899
C02309,C02309
C02380,C02380
C11539,C11539
C12829,C12829
C03405,C03405
C01374,C01374
C06253,C06253
C04762,C04762
C07919,C07919
C10715,C10715
C06888,C06888
C06890,C06890
C05595,C05595
C00051,C00051
C02923,C02923
C12676,C12676
C08598,C08598
C01252,C01252
C05443,C05443
C07387,C07387
C06481,C06481
C09584,C09584
C04478,C04478
C04834,C04834
C08635,C08635
C03488,C03488
C11005,C11005
C02764,C02764
C13259,C13259
C11059,C11059
C10585,C10585
C05115,C05115
C13516,C13516
C03667,C03667
C04709,C04709
C11702,C11702
C01010,C01010
C09657,C09657
C13354,C13354
C07215,C07215
C06348,C06348
C01110,C01110
C01061,C01061
C09820,C09820
C05171,C05171
C09420,C09420
C11583,C11583
C11906,C11906
C12652,C12652
