device_id,DeviceType,DeviceInfo
DEVICE_SM-T810 Build/NRD90M,mobile,SM-T810 Build/NRD90M
DEVICE_UNKNOWN_DEVICE,UNKNOWN_DEVICE_TYPE,UNKNOWN_DEVICE
DEVICE_Windows,desktop,Windows
DEVICE_Moto G (5) Plus Build/NPN25.137-72,mobile,Moto G (5) Plus Build/NPN25.137-72
DEVICE_iOS Device,mobile,iOS Device
DEVICE_SM-G930V Build/NRD90M,mobile,SM-G930V Build/NRD90M
DEVICE_Moto G (5) Build/NPP25.137-72,mobile,Moto G (5) Build/NPP25.137-72
DEVICE_MacOS,desktop,MacOS
DEVICE_ALE-L23 Build/HuaweiALE-L23,mobile,ALE-L23 Build/HuaweiALE-L23
DEVICE_Trident/7.0,desktop,Trident/7.0
DEVICE_Z836BL,mobile,Z836BL
DEVICE_LG-K580 Build/MRA58K,mobile,LG-K580 Build/MRA58K
DEVICE_SM-G950U Build/NRD90M,mobile,SM-G950U Build/NRD90M
DEVICE_SAMSUNG SM-G930T Build/NRD90M,mobile,SAMSUNG SM-G930T Build/NRD90M
DEVICE_Moto G (4) Build/NPJ25.93-14.5,mobile,Moto G (4) Build/NPJ25.93-14.5
DEVICE_SM-T710 Build/NRD90M,mobile,SM-T710 Build/NRD90M
DEVICE_SAMSUNG,mobile,SAMSUNG
DEVICE_F3113 Build/33.2.A.4.70,mobile,F3113 Build/33.2.A.4.70
DEVICE_D5306 Build/19.4.A.0.182,mobile,D5306 Build/19.4.A.0.182
DEVICE_RCT6303W87M7 Build/MRA58K,mobile,RCT6303W87M7 Build/MRA58K
DEVICE_SAMSUNG-SM-G870A Build/MMB29M,mobile,SAMSUNG-SM-G870A Build/MMB29M
DEVICE_Blade V6 Build/LRX22G,mobile,Blade V6 Build/LRX22G
DEVICE_SAMSUNG SM-J700M Build/MMB29K,mobile,SAMSUNG SM-J700M Build/MMB29K
DEVICE_SM-G955U Build/NRD90M,mobile,SM-G955U Build/NRD90M
DEVICE_SM-G531H Build/LMY48B,mobile,SM-G531H Build/LMY48B
DEVICE_SM-J727U Build/NRD90M,mobile,SM-J727U Build/NRD90M
DEVICE_Blade V6 Plus Build/MRA58K,mobile,Blade V6 Plus Build/MRA58K
DEVICE_Moto C Build/NRD90M.063,mobile,Moto C Build/NRD90M.063
DEVICE_LG-K428 Build/MMB29M,mobile,LG-K428 Build/MMB29M
DEVICE_rv:52.0,desktop,rv:52.0
DEVICE_rv:57.0,desktop,rv:57.0
DEVICE_SM-J327V Build/NRD90M,mobile,SM-J327V Build/NRD90M
DEVICE_QTASUN1 Build/NRD90M,mobile,QTASUN1 Build/NRD90M
DEVICE_LG-D693n Build/LRX22G,mobile,LG-D693n Build/LRX22G
DEVICE_HUAWEI RIO-L03 Build/HUAWEIRIO-L03,mobile,HUAWEI RIO-L03 Build/HUAWEIRIO-L03
DEVICE_HTC 10 Build/NRD90M,mobile,HTC 10 Build/NRD90M
DEVICE_SM-G550T Build/MMB29K,mobile,SM-G550T Build/MMB29K
DEVICE_5012G Build/MRA58K,mobile,5012G Build/MRA58K
DEVICE_SAMSUNG SM-T587P Build/NRD90M,mobile,SAMSUNG SM-T587P Build/NRD90M
DEVICE_LG-V410,mobile,LG-V410
DEVICE_SAMSUNG SM-G891A Build/NRD90M,mobile,SAMSUNG SM-G891A Build/NRD90M
DEVICE_Moto,mobile,Moto
DEVICE_SM-J727V Build/NRD90M,mobile,SM-J727V Build/NRD90M
DEVICE_rv:56.0,desktop,rv:56.0
DEVICE_SM-G532M Build/MMB29T,mobile,SM-G532M Build/MMB29T
DEVICE_GT-P5113,mobile,GT-P5113
DEVICE_XT1254 Build/MCG24.251-5-5,mobile,XT1254 Build/MCG24.251-5-5
DEVICE_rv:11.0,desktop,rv:11.0
DEVICE_LG-D331 Build/LRX22G,mobile,LG-D331 Build/LRX22G
DEVICE_SM-G900V Build/MMB29M,mobile,SM-G900V Build/MMB29M
DEVICE_rv:51.0,desktop,rv:51.0
DEVICE_LG-M322,mobile,LG-M322
DEVICE_SM-E500M Build/KTU84P,mobile,SM-E500M Build/KTU84P
DEVICE_SM-G900T Build/MMB29M,mobile,SM-G900T Build/MMB29M
DEVICE_Z410,mobile,Z410
DEVICE_SM-N920G Build/NRD90M,mobile,SM-N920G Build/NRD90M
DEVICE_SAMSUNG SM-G950U1 Build/NRD90M,mobile,SAMSUNG SM-G950U1 Build/NRD90M
DEVICE_LG-H500 Build/LRX21Y,mobile,LG-H500 Build/LRX21Y
DEVICE_Aquaris,mobile,Aquaris
DEVICE_BLADE A602 Build/MRA58K,mobile,BLADE A602 Build/MRA58K
DEVICE_XT1635-02 Build/NPN26.118-22-2,mobile,XT1635-02 Build/NPN26.118-22-2
DEVICE_SM-N920V Build/NRD90M,mobile,SM-N920V Build/NRD90M
DEVICE_HUAWEI TAG-L13 Build/HUAWEITAG-L13,mobile,HUAWEI TAG-L13 Build/HUAWEITAG-L13
DEVICE_SM-G900F Build/MMB29M,mobile,SM-G900F Build/MMB29M
DEVICE_M4 SS4450 Build/MRA58K,mobile,M4 SS4450 Build/MRA58K
DEVICE_LG-K500 Build/MMB29M,mobile,LG-K500 Build/MMB29M
DEVICE_SM-J700M Build/MMB29K,mobile,SM-J700M Build/MMB29K
DEVICE_BLL-L23 Build/HUAWEIBLL-L23,mobile,BLL-L23 Build/HUAWEIBLL-L23
DEVICE_KYOCERA-C6742A Build/LMY47V,mobile,KYOCERA-C6742A Build/LMY47V
DEVICE_SM-T700 Build/MMB29K,mobile,SM-T700 Build/MMB29K
DEVICE_SM-G920V Build/NRD90M,mobile,SM-G920V Build/NRD90M
DEVICE_VS500,mobile,VS500
DEVICE_KFFOWI Build/LVY48F,mobile,KFFOWI Build/LVY48F
DEVICE_Moto E (4) Build/NMA26.42-19,mobile,Moto E (4) Build/NMA26.42-19
DEVICE_Ilium L910 Build/MRA58K,mobile,Ilium L910 Build/MRA58K
DEVICE_LG-H420 Build/LRX21Y,mobile,LG-H420 Build/LRX21Y
DEVICE_XT1032 Build/LPBS23.13-56-2,mobile,XT1032 Build/LPBS23.13-56-2
DEVICE_GT-I9060M Build/KTU84P,mobile,GT-I9060M Build/KTU84P
DEVICE_rv:38.0,desktop,rv:38.0
DEVICE_LGMP260 Build/NRD90U,mobile,LGMP260 Build/NRD90U
DEVICE_TA-1003,mobile,TA-1003
DEVICE_SAMSUNG SM-G950U Build/NRD90M,mobile,SAMSUNG SM-G950U Build/NRD90M
DEVICE_VS988 Build/NRD90U,mobile,VS988 Build/NRD90U
DEVICE_Windows NT 6.1,desktop,Windows NT 6.1
DEVICE_SAMSUNG SM-J327T Build/NRD90M,mobile,SAMSUNG SM-J327T Build/NRD90M
DEVICE_SM-A710M Build/LMY47X,mobile,SM-A710M Build/LMY47X
DEVICE_Moto G Play Build/MPIS24.241-15.3-26,mobile,Moto G Play Build/MPIS24.241-15.3-26
DEVICE_Nexus 6P Build/OPR5.170623.011,mobile,Nexus 6P Build/OPR5.170623.011
DEVICE_SM-J510MN Build/MMB29M,mobile,SM-J510MN Build/MMB29M
