email_id,domain
EMAIL_yahoo.com,yahoo.com
EMAIL_gmail.com,gmail.com
EMAIL_hotmail.com,hotmail.com
EMAIL_UNKNOWN_EMAIL,UNKNOWN_EMAIL
EMAIL_comcast.net,comcast.net
EMAIL_anonymous.com,anonymous.com
EMAIL_live.com,live.com
EMAIL_aol.com,aol.com
EMAIL_icloud.com,icloud.com
EMAIL_msn.com,msn.com
EMAIL_outlook.com,outlook.com
EMAIL_verizon.net,verizon.net
EMAIL_mac.com,mac.com
EMAIL_yahoo.com.mx,yahoo.com.mx
EMAIL_sbcglobal.net,sbcglobal.net
EMAIL_earthlink.net,earthlink.net
EMAIL_ymail.com,ymail.com
EMAIL_bellsouth.net,bellsouth.net
EMAIL_charter.net,charter.net
EMAIL_live.com.mx,live.com.mx
EMAIL_cfl.rr.com,cfl.rr.com
EMAIL_roadrunner.com,roadrunner.com
EMAIL_mail.com,mail.com
EMAIL_rocketmail.com,rocketmail.com
EMAIL_att.net,att.net
EMAIL_juno.com,juno.com
EMAIL_cox.net,cox.net
EMAIL_frontiernet.net,frontiernet.net
EMAIL_me.com,me.com
EMAIL_frontier.com,frontier.com
EMAIL_netzero.com,netzero.com
EMAIL_twc.com,twc.com
EMAIL_aim.com,aim.com
EMAIL_windstream.net,windstream.net
EMAIL_optonline.net,optonline.net
EMAIL_outlook.es,outlook.es
EMAIL_yahoo.co.uk,yahoo.co.uk
EMAIL_gmail,gmail
EMAIL_hotmail.es,hotmail.es
EMAIL_suddenlink.net,suddenlink.net
EMAIL_netzero.net,netzero.net
EMAIL_gmx.de,gmx.de
EMAIL_prodigy.net.mx,prodigy.net.mx
EMAIL_web.de,web.de
EMAIL_yahoo.fr,yahoo.fr
EMAIL_yahoo.de,yahoo.de
EMAIL_embarqmail.com,embarqmail.com
EMAIL_q.com,q.com
EMAIL_servicios-ta.com,servicios-ta.com
EMAIL_yahoo.es,yahoo.es
EMAIL_centurylink.net,centurylink.net
EMAIL_live.fr,live.fr
EMAIL_hotmail.fr,hotmail.fr
EMAIL_cableone.net,cableone.net
EMAIL_protonmail.com,protonmail.com
EMAIL_sc.rr.com,sc.rr.com
EMAIL_ptd.net,ptd.net
EMAIL_hotmail.co.uk,hotmail.co.uk
EMAIL_hotmail.de,hotmail.de
EMAIL_yahoo.co.jp,yahoo.co.jp
