transaction_id,case_id
3000120,CC-0001
3000332,CC-0002
3000607,CC-0003
3000906|3001040,CC-0004
3000183,CC-0005
3001230,CC-0006
3000264,CC-0007
3001018,CC-0008
3002486,CC-0009
3002792,CC-0010
3000989,CC-0011
3002019,CC-0012
3002951,CC-0013
3002010,CC-0014
3002758,CC-0015
3001839,CC-0016
3003172,CC-0017
3001565,CC-0018
3002476,CC-0019
3000808|3000825|3003871|3003906,CC-0020
3003708,CC-0021
3001611,CC-0022
3004228,CC-0023
3003459|3003503,CC-0024
3003546,CC-0025
3004354,CC-0026
3003757,CC-0027
3003607,CC-0028
3000150|3002210|3002242,CC-0029
3003913,CC-0030
3001820,CC-0031
3005276,CC-0032
3001937|3001952|3001999,CC-0033
3005972,CC-0034
3004895,CC-0035
3003325,CC-0036
3006461,CC-0037
3006275,CC-0038
3004695,CC-0039
3006416,CC-0040
3003842,CC-0041
3006354,CC-0042
3002981,CC-0043
3005476,CC-0044
3001632|3002781|3003811|3005310,CC-0045
3002840,CC-0046
3002820|3002828|3004711|3004734|3004746,CC-0047
3006432,CC-0048
3004818|3004823,CC-0049
3006044,CC-0050
3006772|3006774,CC-0051
3004914,CC-0052
3006690,CC-0053
3004838,CC-0054
3005851,CC-0055
3003521,CC-0056
3006366,CC-0057
3007307,CC-0058
3000904|3001479|3005523|3005542,CC-0059
3003331|3003334,CC-0060
3006964,CC-0061
3003096|3003109|3003149|3006742,CC-0062
3000256|3001075|3005210|3006200|3006850|3006853|3006859|3006872|3006996|3007008|3007451|3007722,CC-0063
3004342|3004343,CC-0064
3007293,CC-0065
3008267,CC-0066
3005969|3005996|3006014,CC-0067
3008568,CC-0068
3007099,CC-0069
3004140,CC-0070
3005539,CC-0071
3005146,CC-0072
3008421,CC-0073
3008726,CC-0074
3006561,CC-0075
3004802|3004910,CC-0076
3009019,CC-0077
3005866|3006663,CC-0078
3002258|3005470,CC-0079
3004998,CC-0080
3005023,CC-0081
3008084,CC-0082
3009363,CC-0083
3007469|3007992,CC-0084
3001404|3001462|3004832|3004849|3004876|3008631|3008861,CC-0085
3009332,CC-0086
3008876,CC-0087
3009046,CC-0088
3007653|3007655|3007659,CC-0089
3007110|3007173|3007336|3008705,CC-0090
3009776,CC-0091
3008731,CC-0092
3006978|3007013,CC-0093
3009721,CC-0094
3000824|3001548|3004896|3008509|3008623,CC-0095
3010143,CC-0096
3007851,CC-0097
3009884,CC-0098
3010003,CC-0099
3009606,CC-0100
3008404,CC-0101
3009982|3010017,CC-0102
3009937,CC-0103
3007244,CC-0104
3006763,CC-0105
3007053,CC-0106
3006794|3008592,CC-0107
3007044|3007399|3008926,CC-0108
3003071|3003075|3003320|3008965,CC-0109
3011067,CC-0110
3011102,CC-0111
3009177,CC-0112
3009654|3009915|3010101,CC-0113
3006484|3006490|3008929,CC-0114
3010439,CC-0115
3011782,CC-0116
3009933,CC-0117
3003589|3006216|3006218|3006841|3007047|3009082|3009582|3010271|3010597|3010612,CC-0118
3008565,CC-0119
3011959,CC-0120
3000987|3001956|3002701|3003925|3005620|3005655|3006995|3008896|3009065|3009193|3011530,CC-0121
3000003|3000004|3000018|3000184|3000192|3000195|3000247|3000250|3001605|3002036|3002049|3002470|3002968|3004811|3004814|3004975|3004986|3004993|3006488|3006669|3006678|3006716|3008147|3009546|3009550|3010532,CC-0122
3010596,CC-0123
3001781|3004827|3005102|3005319|3010794,CC-0124
3013020,CC-0125
3007920|3012310,CC-0126
3008943|3009007,CC-0127
3006300|3006319|3006370|3009164|3010670,CC-0128
3012058,CC-0129
3013144,CC-0130
3012049|3012141,CC-0131
3010098|3010183,CC-0132
