from_transaction,to_transaction,sequence_gap_seconds
3080680,3082613,50666.0
3011877,3092038,1563235.0
3092038,3104049,178072.0
3104049,3154015,1119094.0
3154015,3552557,11402137.0
3552557,3552578,285.0
3190332,3281241,2631535.0
3281241,3569435,8225821.0
3027673,3034531,161744.0
3034531,3047925,272776.0
3047925,3047960,414.0
3047960,3080600,599884.0
3080600,3091140,165029.0
3091140,3142407,1025452.0
3142407,3186149,1220672.0
3186149,3189143,86652.0
3189143,3193575,149574.0
3193575,3209733,466211.0
3209733,3222574,405087.0
3222574,3227905,134541.0
3227905,3244256,407755.0
3244256,3244312,745.0
3244312,3259135,432655.0
3259135,3264903,170912.0
3264903,3276991,347127.0
3276991,3291498,436813.0
3291498,3312466,592139.0
3312466,3312967,7841.0
3312967,3314716,56827.0
3314716,3319451,97159.0
3319451,3321781,29258.0
3321781,3329618,167823.0
3329618,3329643,300.0
3329643,3337293,172130.0
3337293,3341026,92389.0
3341026,3343398,71200.0
3343398,3343712,4474.0
3343712,3346424,78527.0
3346424,3352017,161542.0
3352017,3358060,168429.0
3358060,3359788,29498.0
3359788,3364632,152400.0
3364632,3401753,1062482.0
3401753,3422600,568696.0
3422600,3425955,82812.0
3425955,3425962,71.0
3425962,3448844,680698.0
3448844,3449944,24995.0
3449944,3457569,254226.0
3457569,3489883,1045319.0
3489883,3504666,433930.0
3504666,3545860,1197660.0
3545860,3545882,360.0
3545882,3550264,114909.0
3550264,3555052,153014.0
3555052,3555252,3393.0
3555252,3557989,87730.0
3557989,3562630,151331.0
3562630,3586606,779013.0
3586606,3587356,14784.0
3121046,3174752,1401128.0
3407970,3484843,2312018.0
3484843,3511415,776807.0
3054339,3250610,4690624.0
3250610,3273800,681853.0
3053923,3438146,9844882.0
3111798,3345060,6301474.0
3345060,3512672,4916736.0
3061914,3061925,488.0
3061925,3158949,1945795.0
3158949,3446992,8038495.0
3446992,3580431,4079962.0
3148386,3238031,2555147.0
3238031,3435410,5409314.0
3027128,3043425,351125.0
3043425,3043471,604.0
3043471,3044621,21912.0
3044621,3057930,292631.0
3057930,3071009,213891.0
3071009,3083278,222382.0
3083278,3137598,991238.0
3137598,3233279,2738094.0
3233279,3297893,1848017.0
3297893,3340201,1013254.0
3340201,3482497,4151628.0
3482497,3489697,243952.0
3489697,3525037,1024995.0
3525037,3551688,784183.0
3054064,3056394,27925.0
3056394,3068885,239863.0
3068885,3370579,7692301.0
3370579,3382071,338511.0
3382071,3388432,179813.0
3388432,3397252,256472.0
3397252,3400384,88322.0
3400384,3403415,86078.0
3403415,3410010,175616.0
3410010,3410054,601.0
3410054,3422931,336323.0
3422931,3423022,1237.0
3423022,3441974,526273.0
3441974,3445167,93664.0
3445167,3459982,497168.0
3459982,3466235,191211.0
3466235,3471864,177385.0
3471864,3497000,829573.0
3497000,3513933,453030.0
3513933,3516859,87044.0
3516859,3520188,90872.0
3520188,3520225,696.0
3520225,3543535,692930.0
3543535,3552035,254630.0
3552035,3569316,516307.0
3569316,3576802,251934.0
3576802,3577314,10597.0
3577314,3577433,1987.0
3577433,3579359,73471.0
3579359,3579381,509.0
3579381,3579412,540.0
3579412,3579478,1369.0
3579478,3582718,102360.0
3269734,3291018,623235.0
3060859,3083708,407206.0
3083708,3110703,397390.0
3110703,3175571,1625726.0
3175571,3207219,945765.0
3207219,3225956,579823.0
3225956,3253144,704911.0
3253144,3323900,1974640.0
3323900,3347848,560565.0
3347848,3370615,652528.0
3370615,3425244,1514336.0
3425244,3439515,394169.0
3439515,3443250,115761.0
3352768,3369304,481175.0
3369304,3576705,6154980.0
3167523,3195576,809717.0
3033212,3100548,1207151.0
3100548,3100717,1734.0
3100717,3244136,3740217.0
3244136,3303572,1738575.0
3303572,3317601,349479.0
3317601,3317638,847.0
3317638,3380315,1629771.0
3380315,3441776,1713114.0
3441776,3450960,282236.0
3450960,3514088,1966354.0
3514088,3567332,1565981.0
3132580,3132605,476.0
3132605,3132609,69.0
3132609,3132612,40.0
3180659,3180674,208.0
3180674,3180681,125.0
3180681,3194862,425570.0
3194862,3431715,6535181.0
3431715,3553105,3678516.0
3311944,3325598,279677.0
3325598,3332462,158008.0
3332462,3357129,629030.0
3357129,3358774,60606.0
3358774,3364402,165395.0
3364402,3418960,1546602.0
3418960,3422147,81845.0
3422147,3429017,172479.0
3429017,3496008,2104533.0
3496008,3549582,1551500.0
3549582,3570346,616594.0
3570346,3570364,448.0
3570364,3578164,258512.0
3578164,3585428,255186.0
3585428,3589491,146614.0
3041643,3049443,166285.0
3049443,3058796,179982.0
3058796,3064251,94838.0
3064251,3076791,211069.0
3076791,3078617,41588.0
3078617,3079008,3479.0
3079008,3079560,4568.0
3079560,3080198,6230.0
3080198,3080308,1090.0
3080308,3080372,697.0
3080372,3104702,361688.0
3104702,3146339,923388.0
3146339,3167115,551394.0
3167115,3195747,850242.0
3195747,3210525,471134.0
3210525,3274371,1775789.0
3274371,3286846,394605.0
3286846,3528148,6839217.0
3528148,3546794,534728.0
3546794,3583771,1177960.0
3583771,3583797,685.0
3188039,3192090,107802.0
3109795,3116151,135342.0
3116151,3128076,255829.0
3018036,3021379,80112.0
3021379,3022762,19852.0
3022762,3027017,92409.0
3027017,3041767,332740.0
3041767,3055295,269786.0
3055295,3063070,157260.0
3063070,3067062,72571.0
3067062,3085707,293121.0
3085707,3112539,419436.0
3112539,3120286,155985.0
3120286,3121342,15296.0
3121342,3129717,184714.0
3129717,3149987,516612.0
3149987,3170025,565122.0
3170025,3183170,384459.0
3183170,3191904,259442.0
3191904,3208980,517712.0
3208980,3214941,176992.0
3214941,3235892,585259.0
3235892,3243481,185134.0
3243481,3248896,160835.0
3248896,3257970,264022.0
3257970,3266385,250578.0
3266385,3269041,68020.0
3269041,3273520,124432.0
3273520,3274080,9209.0
3274080,3284847,330132.0
3284847,3301620,508963.0
3301620,3308646,184132.0
3308646,3333597,539108.0
3333597,3336404,73308.0
3336404,3336483,890.0
3336483,3346530,258539.0
3346530,3376272,852916.0
3376272,3384093,234593.0
3384093,3388460,115916.0
3388460,3390990,79786.0
3390990,3396241,156657.0
3396241,3422884,705943.0
3422884,3435961,349101.0
3435961,3462259,846565.0
3462259,3473175,350532.0
3473175,3473602,9232.0
3473602,3492214,606870.0
3492214,3501192,262137.0
3501192,3526488,709131.0
3526488,3536821,323983.0
3536821,3545481,251068.0
3545481,3548489,88403.0
3548489,3571969,701387.0
3571969,3586994,514531.0
3121435,3137760,382584.0
3137760,3145390,211353.0
3145390,3165585,534661.0
3165585,3165645,1283.0
3165645,3178949,408257.0
3178949,3179084,3933.0
3179084,3179405,6707.0
3179405,3179449,861.0
3179449,3186754,196770.0
3186754,3187910,55126.0
3187910,3211082,698844.0
3211082,3211181,1775.0
3211181,3211288,1879.0
3211288,3211473,2999.0
3211473,3224637,376941.0
3224637,3224674,932.0
3224674,3224678,118.0
3224678,3269545,1253896.0
3269545,3363560,2497294.0
3363560,3443628,2248477.0
3443628,3514342,2185235.0
3514342,3538285,707686.0
3076886,3241994,4046811.0
3241994,3530901,8252022.0
3013741,3122763,2025581.0
3122763,3124186,49853.0
3124186,3151199,654006.0
3151199,3287867,3952575.0
3287867,3321633,882827.0
3321633,3333911,263987.0
3333911,3361698,752890.0
3361698,3366556,151386.0
3366556,3370465,105205.0
3370465,3429421,1631746.0
3429421,3432295,83234.0
3432295,3432394,1826.0
3432394,3432794,6328.0
3432794,3465003,1025023.0
3465003,3488897,779235.0
3488897,3514543,717231.0
3514543,3520487,171820.0
3520487,3566084,1363539.0
3164817,3319786,4416863.0
3319786,3329836,196833.0
3329836,3466729,3882418.0
3466729,3517670,1552567.0
3517670,3518999,55982.0
3518999,3537430,540431.0
3537430,3549414,345782.0
3549414,3549525,2226.0
3549525,3560830,346949.0
3560830,3569383,250478.0
3569383,3569384,79.0
3569384,3581183,405909.0
3581183,3581204,1018.0
3581204,3581205,82.0
3581205,3581287,2810.0
3011645,3139463,2506314.0
3115122,3180953,1714870.0
3180953,3477782,8396173.0
3106851,3109960,31898.0
3109960,3110000,707.0
3110000,3152146,998617.0
3061669,3065426,72383.0
3065426,3081954,276253.0
3081954,3106897,394382.0
3106897,3227661,3231373.0
3227661,3300539,2068210.0
3300539,3363052,1560846.0
3363052,3386367,681494.0
3386367,3392672,180529.0
3392672,3432809,1092086.0
3432809,3455554,704706.0
3455554,3482044,863036.0
3482044,3532726,1494182.0
3532726,3536275,124121.0
3536275,3590198,1661834.0
3005064,3005119,707.0
3005119,3062767,1275125.0
3062767,3062792,285.0
3062792,3062971,1994.0
3062971,3068019,88641.0
3068019,3068096,755.0
3068096,3068214,1269.0
3068214,3115077,727029.0
3115077,3215162,2748305.0
3215162,3261341,1287450.0
3261341,3282737,613289.0
3282737,3330233,1228952.0
3330233,3338056,183055.0
3338056,3374018,1005168.0
3374018,3374091,1414.0
3374091,3376929,84407.0
3376929,3401010,693288.0
3401010,3468580,1977332.0
3468580,3471255,86318.0
3471255,3549452,2339000.0
3549452,3581893,1022607.0
3406217,3406343,2164.0
3406343,3431813,671966.0
3130706,3161119,785254.0
3008703,3037813,679721.0
3037813,3061541,461423.0
3061541,3067991,137100.0
3067991,3069895,20279.0
3069895,3092618,354005.0
3092618,3095358,57920.0
3095358,3127854,572200.0
3127854,3129533,46787.0
3129533,3139437,256457.0
3139437,3154036,358747.0
3154036,3154042,162.0
3154042,3154166,1766.0
3154166,3156794,76727.0
3156794,3170361,409620.0
3170361,3176859,185300.0
3176859,3193967,511234.0
3193967,3195351,22154.0
3195351,3195356,12.0
3195356,3196486,52637.0
3196486,3196493,144.0
3196493,3196502,363.0
3196502,3197127,13825.0
3197127,3199583,76962.0
3199583,3199620,712.0
3199620,3201818,41649.0
3201818,3201831,334.0
3201831,3202183,32197.0
3202183,3202186,498.0
3202186,3202387,10574.0
3202387,3208619,187714.0
3208619,3208829,3340.0
3208829,3212700,104315.0
3212700,3215158,79002.0
3215158,3215688,9114.0
3215688,3215988,6489.0
3215988,3218410,77198.0
3218410,3218512,1989.0
3218512,3220794,75185.0
3220794,3221290,8651.0
3221290,3221660,8117.0
3221660,3223402,65008.0
3223402,3224079,11789.0
3224079,3224098,272.0
3224098,3224162,1224.0
3224162,3225751,63307.0
3225751,3232440,167414.0
3232440,3245712,341846.0
3245712,3266888,614806.0
3266888,3296782,879303.0
3296782,3313069,437397.0
3313069,3315653,67769.0
3315653,3315707,836.0
3315707,3329569,280203.0
3329569,3331438,60179.0
3331438,3334525,74650.0
3334525,3373621,1058687.0
3373621,3376216,79790.0
3376216,3401044,706625.0
3401044,3401451,7428.0
3401451,3413281,329551.0
