transaction_id,card_id
3000001,CARD_22563
3000002,CARD_16104
3000003,CARD_22374
3000004,CARD_22374
3000005,CARD_22006
3000006,CARD_11109
3000007,CARD_23517
3000008,CARD_21363
3000009,CARD_19410
3000010,CARD_18358
3000011,CARD_16435
3000012,CARD_22006
3000013,CARD_20806
3000014,CARD_20806
3000015,CARD_14147
3000016,CARD_21363
3000017,CARD_13199
3000018,CARD_22374
3000019,CARD_17830
3000020,CARD_21363
3000021,CARD_17784
3000022,CARD_15916
3000023,CARD_14534
3000024,CARD_15908
3000025,CARD_12010
3000026,CARD_18454
3000027,CARD_14796
3000028,CARD_13610
3000029,CARD_13610
3000030,CARD_16435
3000031,CARD_15469
3000032,CARD_13610
3000033,CARD_20806
3000034,CARD_10660
3000035,CARD_12010
3000036,CARD_20806
3000037,CARD_17830
3000038,CARD_17736
3000039,CARD_20806
3000040,CARD_13199
3000041,CARD_21363
3000042,CARD_23029
3000043,CARD_18494
3000044,CARD_22351
3000045,CARD_11371
3000046,CARD_22432
3000047,CARD_16493
3000048,CARD_23517
3000049,CARD_16493
3000050,CARD_16482
3000051,CARD_15663
3000052,CARD_16435
3000053,CARD_19248
3000054,CARD_17784
3000055,CARD_11841
3000056,CARD_17011
3000057,CARD_21363
3000058,CARD_14350
3000059,CARD_20806
3000060,CARD_19600
3000061,CARD_10114
3000062,CARD_10660
3000063,CARD_14089
3000064,CARD_22755
3000065,CARD_18358
3000066,CARD_13611
3000067,CARD_16435
3000068,CARD_20806
3000069,CARD_16535
3000070,CARD_12570
3000071,CARD_15887
3000072,CARD_16482
3000073,CARD_17011
3000074,CARD_14718
3000075,CARD_11453
3000076,CARD_16435
3000077,CARD_19392
3000078,CARD_21363
3000079,CARD_21363
3000080,CARD_13191
3000081,CARD_10533
3000082,CARD_16300
3000083,CARD_10517
3000084,CARD_22904
3000085,CARD_14718
3000086,CARD_17011
3000087,CARD_17011
3000088,CARD_21703
3000089,CARD_12833
3000090,CARD_17830
3000091,CARD_11371
3000092,CARD_19707
3000093,CARD_21363
3000094,CARD_22941
3000095,CARD_20698
3000096,CARD_21703
3000097,CARD_22862
3000098,CARD_16482
3000099,CARD_13556
3000100,CARD_16435
3000101,CARD_17011
3000102,CARD_18494
3000103,CARD_17011
3000104,CARD_17519
3000105,CARD_15600
3000106,CARD_16482
3000107,CARD_17011
3000108,CARD_18632
3000109,CARD_12525
3000110,CARD_19248
3000111,CARD_10709
3000112,CARD_13515
3000113,CARD_21363
3000114,CARD_21363
3000115,CARD_21040
3000116,CARD_16435
3000117,CARD_11757
3000118,CARD_10709
3000119,CARD_17912
3000120,CARD_15620
3000121,CARD_14674
3000122,CARD_17283
3000123,CARD_21363
3000124,CARD_23029
3000125,CARD_16300
3000126,CARD_23330
3000127,CARD_21363
3000128,CARD_12520
3000129,CARD_16482
3000130,CARD_14251
3000131,CARD_22006
3000132,CARD_12382
3000133,CARD_18494
3000134,CARD_22413
3000135,CARD_16535
3000136,CARD_22474
3000137,CARD_23354
