customer_id,card_id
C06075,CARD_22563
C07096,CARD_16104
C11919,CARD_22374
C07867,CARD_22006
C06743,CARD_11109
C10193,CARD_23517
C11923,CARD_21363
C08925,CARD_19410
C09301,CARD_18358
C03218,CARD_16435
C08945,CARD_20806
C06598,CARD_14147
C08662,CARD_13199
C11709,CARD_17830
C07648,CARD_17784
C03575,CARD_15916
C03847,CARD_14534
C10234,CARD_15908
C09711,CARD_12010
C09339,CARD_18454
C03622,CARD_14796
C05704,CARD_13610
C09947,CARD_15469
C05283,CARD_10660
C12942,CARD_17736
C01109,CARD_23029
C09363,CARD_18494
C01525,CARD_22351
C01909,CARD_11371
C10906,CARD_22432
C12593,CARD_16493
C12961,CARD_16482
C03363,CARD_15663
C02354,CARD_19248
C10745,CARD_11841
C04108,CARD_17011
C07870,CARD_14350
C10333,CARD_19600
C13171,CARD_10114
C02231,CARD_14089
C05362,CARD_22755
C04960,CARD_13611
C11000,CARD_16535
C10679,CARD_12570
C01953,CARD_15887
C09221,CARD_14718
C12758,CARD_11453
C08924,CARD_19392
C11625,CARD_13191
C04105,CARD_10533
C00750,CARD_16300
C09486,CARD_10517
C04597,CARD_22904
C12517,CARD_21703
C05854,CARD_12833
C03230,CARD_19707
C12136,CARD_22941
C06872,CARD_20698
C06248,CARD_22862
C12094,CARD_13556
C05312,CARD_17519
C08742,CARD_15600
C09276,CARD_18632
C12234,CARD_12525
C08842,CARD_10709
C07505,CARD_13515
C13001,CARD_21040
C08037,CARD_11757
C09936,CARD_17912
C00259,CARD_15620
C12863,CARD_14674
C08841,CARD_17283
C02515,CARD_23330
C08605,CARD_12520
C09998,CARD_14251
C05560,CARD_12382
C01828,CARD_22413
C09872,CARD_22474
C09253,CARD_23354
C08391,CARD_13027
C01048,CARD_20446
C03047,CARD_23232
C00272,CARD_18799
C06791,CARD_20646
C10656,CARD_20080
C09405,CARD_14447
C05622,CARD_18228
C03277,CARD_16376
C11464,CARD_15326
C07212,CARD_15876
C02250,CARD_20397
C05689,CARD_21174
C01154,CARD_18031
C02331,CARD_21097
C10755,CARD_14761
C05078,CARD_16144
C11227,CARD_22902
C02342,CARD_13321
C12907,CARD_20787
C05996,CARD_18478
C08027,CARD_12346
C06055,CARD_17443
C12682,CARD_11561
C10270,CARD_12537
C12598,CARD_23089
C12982,CARD_13095
C06147,CARD_11520
C13440,CARD_22914
C03351,CARD_12971
C12722,CARD_15052
C04361,CARD_20009
C00614,CARD_18618
C10867,CARD_22461
C10852,CARD_22583
C06885,CARD_20892
C06811,CARD_14469
C09671,CARD_12303
C07033,CARD_10099
C03771,CARD_16862
C09165,CARD_23024
C12084,CARD_11753
C03851,CARD_15928
C01333,CARD_14332
C01521,CARD_15986
C09750,CARD_12884
C00844,CARD_16199
C07220,CARD_22782
C01563,CARD_10553
C01954,CARD_22709
C13449,CARD_16362
C10955,CARD_13688
C10516,CARD_17805
C04582,CARD_17185
C02134,CARD_13600
C00331,CARD_22984
C02608,CARD_15835
C06403,CARD_16488
C05196,CARD_17968
C00969,CARD_23224
C00732,CARD_20540
C00094,CARD_16429
C02902,CARD_18167
C03412,CARD_20714
C10239,CARD_19725
C07058,CARD_22289
C11883,CARD_14243
C03474,CARD_16511
C03649,CARD_16212
C05958,CARD_19195
C07803,CARD_20506
C12124,CARD_11638
C07523,CARD_19549
C09184,CARD_21598
C05128,CARD_21222
C04034,CARD_20270
C03556,CARD_22121
C08120,CARD_14465
C05961,CARD_16389
C05098,CARD_12553
C10778,CARD_17715
C05276,CARD_12852
C11309,CARD_21775
C05277,CARD_17205
C10397,CARD_11743
C04313,CARD_12600
C11873,CARD_13594
C10553,CARD_12425
C05010,CARD_10383
C11929,CARD_18650
C08749,CARD_10852
C06678,CARD_12711
C13372,CARD_17525
C09827,CARD_15051
C05258,CARD_10381
C01959,CARD_12436
C03883,CARD_18405
C07227,CARD_23292
C03858,CARD_22451
C07504,CARD_22533
C04707,CARD_13285
C11917,CARD_19842
C11468,CARD_22748
C07936,CARD_23194
C00773,CARD_20065
C01347,CARD_13073
C11294,CARD_17210
C10911,CARD_11341
C02575,CARD_21514
C11743,CARD_15582
C09286,CARD_12542
C12426,CARD_15897
C04893,CARD_15925
C12311,CARD_12283
C07858,CARD_15913
C04543,CARD_22924
C12417,CARD_10123
C00129,CARD_15785
C01254,CARD_11468
C08072,CARD_11906
C04383,CARD_21874
C04798,CARD_12292
C09666,CARD_20512
C04696,CARD_20144
C08824,CARD_19745
C09876,CARD_20129
C05876,CARD_12947
C07871,CARD_18137
C12894,CARD_15649
C04026,CARD_22949
C01974,CARD_11941
C04693,CARD_16930
C10364,CARD_15239
C09981,CARD_19938
C08181,CARD_12559
C12833,CARD_23444
C05782,CARD_20135
C10661,CARD_10519
C07456,CARD_19826
C08913,CARD_15056
C09159,CARD_17071
C12572,CARD_15626
C11522,CARD_15702
C11061,CARD_15023
C03171,CARD_18472
C10800,CARD_20768
C10687,CARD_12156
C02817,CARD_16167
C03714,CARD_17708
C07671,CARD_22756
C08614,CARD_19061
C12489,CARD_20779
C11381,CARD_12286
C01308,CARD_15609
C00823,CARD_15931
C00424,CARD_10081
C09342,CARD_14364
C13033,CARD_11657
C12738,CARD_20825
C02480,CARD_20879
C03415,CARD_20556
C08269,CARD_21754
C12030,CARD_18913
C12345,CARD_19900
C11082,CARD_23494
C04865,CARD_10800
C03320,CARD_11304
C08899,CARD_15399
C02309,CARD_16857
C02380,CARD_20216
C11539,CARD_18727
C12829,CARD_13090
C03405,CARD_20951
C01374,CARD_10190
C06253,CARD_15845
C04762,CARD_20146
C07919,CARD_21961
C10715,CARD_17583
C06888,CARD_20771
C06890,CARD_20464
C05595,CARD_18042
C00051,CARD_18038
C02923,CARD_22606
C12676,CARD_13815
C08598,CARD_15633
C01252,CARD_13679
C05443,CARD_12850
C07387,CARD_16731
C06481,CARD_11732
C09584,CARD_20629
C04478,CARD_11395
C04834,CARD_10401
C08635,CARD_10513
C03488,CARD_11653
C11005,CARD_22554
C02764,CARD_19146
C13259,CARD_17326
C11059,CARD_19317
C10585,CARD_12228
C05115,CARD_23504
C13516,CARD_11132
C03667,CARD_18118
C04709,CARD_10049
C11702,CARD_10626
C01010,CARD_22848
C09657,CARD_12100
C13354,CARD_22029
C07215,CARD_11004
C06348,CARD_13071
C01110,CARD_17155
