TransactionID,TransactionDT,TransactionAmt,ProductCD,addr1,addr2,customer_id,ts,channel,risk_score
3000902,57978,108.47,W,330.0,87.0,C02923,2016-07-02 16:06:18,in_person,0.1
3002300,89834,74.97,W,264.0,87.0,C09933,2016-07-03 00:57:14,in_person,0.24
3002431,92241,48.0,W,264.0,87.0,C09933,2016-07-03 01:37:21,in_person,0.13
3002742,99339,199.97,W,264.0,87.0,C09933,2016-07-03 03:35:39,in_person,0.25
3002926,107566,107.98,W,264.0,87.0,C09933,2016-07-03 05:52:46,in_person,0.01
3002940,108377,47.0,W,264.0,87.0,C09933,2016-07-03 06:06:17,in_person,0.32
3002976,111506,58.99,W,264.0,87.0,C09933,2016-07-03 06:58:26,in_person,0.24
3002983,111845,50.05,H,387.0,87.0,C09933,2016-07-03 07:04:05,online,0.64
3002998,112995,50.06,W,264.0,87.0,C09933,2016-07-03 07:23:15,in_person,0.21
3003003,113287,59.03,W,264.0,87.0,C09933,2016-07-03 07:28:07,in_person,0.01
3003004,113441,50.05,H,387.0,87.0,C09933,2016-07-03 07:30:41,online,0.1
3003079,127214,500.0,W,264.0,87.0,C09933,2016-07-03 11:20:14,in_person,0.07
3003147,131845,139.97,W,264.0,87.0,C09933,2016-07-03 12:37:25,in_person,0.02
3003169,132539,108.47,W,204.0,87.0,C09933,2016-07-03 12:48:59,in_person,0.01
3003637,143410,54.57,W,264.0,87.0,C09933,2016-07-03 15:50:10,in_person,0.07
3003666,143860,24.96,W,264.0,87.0,C09933,2016-07-03 15:57:40,in_person,0.09
3003696,144379,55.38,W,264.0,87.0,C09933,2016-07-03 16:06:19,in_person,0.1
3003718,144681,107.91,W,264.0,87.0,C09933,2016-07-03 16:11:21,in_person,0.04
3003924,147600,124.88,W,264.0,87.0,C09933,2016-07-03 17:00:00,in_person,0.15
3003998,148592,107.91,W,264.0,87.0,C09933,2016-07-03 17:16:32,in_person,0.16
3004094,149947,205.02,W,310.0,87.0,C09933,2016-07-03 17:39:07,in_person,0.1
3004115,150226,87.93,W,264.0,87.0,C09933,2016-07-03 17:43:46,in_person,0.01
3004122,150318,470.05,W,264.0,87.0,C09933,2016-07-03 17:45:18,in_person,0.13
3004127,150330,41.44,W,264.0,87.0,C09933,2016-07-03 17:45:30,in_person,0.06
3004271,152063,87.96,W,264.0,87.0,C09933,2016-07-03 18:14:23,in_person,0.07
3004451,154817,36.02,C,,,C11891,2016-07-03 19:00:17,online,0.08
3004573,156572,100.06,W,264.0,87.0,C09933,2016-07-03 19:29:32,in_person,0.31
3004785,159369,68.51,W,264.0,87.0,C09933,2016-07-03 20:16:09,in_person,0.01
3005491,168764,53.99,W,264.0,87.0,C09933,2016-07-03 22:52:44,in_person,0.08
3005720,171813,100.02,W,327.0,87.0,C09933,2016-07-03 23:43:33,in_person,0.08
3005796,172840,365.58,W,264.0,87.0,C09933,2016-07-04 00:00:40,in_person,0.12
3005835,173691,115.01,W,264.0,87.0,C09933,2016-07-04 00:14:51,in_person,0.18
3005863,174097,40.05,H,325.0,87.0,C09933,2016-07-04 00:21:37,online,0.66
3006255,180285,57.94,W,264.0,87.0,C09933,2016-07-04 02:04:45,in_person,0.08
3006423,184397,264.98,W,264.0,87.0,C09933,2016-07-04 03:13:17,in_person,0.11
